Gene	count_L05_mRNA	count_L02_mRNA	count_L11_mRNA	count_L04_mRNA	count_L10_mRNA	count_L03_mRNA	count_L06_mRNA	count_L12_mRNA	count_L01_mRNA
PH02Gene07768	0	0	0	0	0	0	0	0	0
PH02Gene07769	0	0	0	1	0	0	0	0	0
PH02Gene07770	1	12	0	3	5	0	1	6	0
PH02Gene07771	78	30	94	87	78	38	130	81	8
PH02Gene07772	0	2	0	4	2	2	2	9	2
PH02Gene07773	16	0	10	12	16	8	9	9	16
PH02Gene07774	12	3	12	11	10	4	18	18	1
PH02Gene07775	0	0	1	0	0	0	0	6	0
PH02Gene07776	0	0	4	13	10	1	2	4	0
PH02Gene07777	0	0	1	16	1	0	8	2	0
PH02Gene07778	1	0	6	2	0	0	1	4	0
PH02Gene07779	0	0	3	0	1	0	4	3	0
PH02Gene07780	0	0	0	0	0	0	0	0	0
PH02Gene07781	5	0	3	5	0	0	4	0	2
PH02Gene07782	1	0	0	1	0	0	0	0	0
PH02Gene07783	16	4	29	15	20	10	24	24	2
PH02Gene07784	89	29	15	31	14	58	105	24	41
PH02Gene07785	8	1	18	12	10	10	2	12	0
PH02Gene07786	11	0	22	33	8	2	8	17	0
PH02Gene07787	0	0	0	0	0	0	0	1	0
PH02Gene07788	71	20	7	13	2	5	49	2	2
PH02Gene07789	81	20	74	47	68	26	58	70	8
PH02Gene07790	14	6	7	19	8	8	12	8	4
PH02Gene07791	20	1	23	24	11	4	9	12	0
PH02Gene07792	2	0	5	5	7	0	2	1	0
PH02Gene07793	0	0	0	0	0	0	1	4	0
PH02Gene07794	8	0	7	2	5	3	6	4	0
PH02Gene07795	16	5	27	32	32	29	33	58	4
PH02Gene07796	40	44	29	22	20	12	65	10	7
PH02Gene07797	0	0	0	0	0	0	0	0	0
PH02Gene07798	0	0	0	1	1	4	12	7	0
PH02Gene07799	15	2	26	12	8	4	9	4	0
PH02Gene07800	4	0	5	0	0	0	1	0	0
PH02Gene07801	0	0	0	0	0	0	0	0	0
PH02Gene07802	4	10	17	3	8	0	2	3	0
PH02Gene07803	3	0	3	4	5	0	2	7	0
PH02Gene07804	0	0	4	2	0	0	0	7	0
PH02Gene07805	1	0	6	1	11	0	0	4	1
PH02Gene07806	62	20	85	37	42	22	46	49	36
PH02Gene07807	8	0	5	18	16	2	8	18	0
PH02Gene07808	15	9	30	18	34	9	14	22	10
PH02Gene07809	5	0	17	11	7	24	15	11	4
PH02Gene07810	2	1	14	4	6	5	10	9	0
PH02Gene07811	15	26	3	5	8	26	12	12	11
PH02Gene07812	22	6	60	51	27	22	40	25	10
PH02Gene07813	221	70	119	80	96	18	89	137	66
PH02Gene07814	10	8	16	11	34	34	42	15	18
PH02Gene07815	20	0	10	0	8	6	1	11	4
PH02Gene07816	15	2	17	21	6	10	8	3	2
PH02Gene07817	4	1	8	0	6	0	0	4	0
PH02Gene07818	6	0	0	1	0	0	1	0	1
PH02Gene07819	10	0	4	4	12	11	3	11	2
PH02Gene07820	9	8	27	8	5	10	10	13	3
PH02Gene07821	55	8	24	30	28	28	33	19	6
PH02Gene07822	10	6	7	5	5	3	2	18	4
PH02Gene07823	2	13	10	10	7	34	12	2	28
PH02Gene07824	2	0	1	5	5	0	10	2	0
PH02Gene07825	18	0	13	26	17	12	34	27	1
PH02Gene07826	0	0	0	0	0	0	0	0	0
PH02Gene07827	45	40	92	53	55	18	97	99	47
PH02Gene07828	1	1	1	0	1	1	0	2	0
PH02Gene07829	34	15	55	33	40	18	70	26	17
PH02Gene07830	0	0	5	2	1	0	0	1	0
PH02Gene07831	0	0	2	0	0	0	0	0	0
PH02Gene07832	0	0	6	1	0	1	1	1	0
PH02Gene07833	1	0	18	1	0	6	5	7	0
PH02Gene07834	6	9	17	16	14	8	8	12	20
PH02Gene07835	10	3	30	16	22	0	17	6	1
PH02Gene07836	10	0	18	10	7	0	12	8	0
PH02Gene07837	0	0	0	0	0	0	0	0	0
PH02Gene07838	0	0	0	1	6	0	2	2	0
PH02Gene07839	12	16	89	74	37	31	71	69	14
PH02Gene07840	0	0	12	12	0	0	9	1	0
PH02Gene07841	15	0	2	1	11	2	16	0	0
PH02Gene07842	90	78	78	50	30	95	69	47	24
PH02Gene07843	6	7	20	4	13	13	6	4	8
PH02Gene07844	1	0	9	4	7	0	15	9	2
PH02Gene07845	1	0	2	8	0	1	8	9	0
PH02Gene07846	16	1	3	17	7	6	12	15	0
PH02Gene07847	10	1	4	6	8	8	3	4	0
PH02Gene07848	1	0	5	6	6	0	0	1	0
PH02Gene07849	444	1104	416	222	318	580	359	398	502
PH02Gene07850	7	0	14	0	1	4	14	1	0
PH02Gene07851	0	4	0	1	0	0	0	0	0
PH02Gene07852	5	3	0	0	4	1	2	4	0
PH02Gene07853	2	3	4	2	2	17	26	9	5
PH02Gene07854	0	0	4	8	5	3	1	16	0
PH02Gene07855	10	10	18	2	10	2	22	10	0
PH02Gene07856	6	4	26	11	3	4	5	4	0
PH02Gene07857	81	107	7	73	9	32	77	6	25
PH02Gene07858	2	10	4	7	21	1	24	6	0
PH02Gene07859	6	14	14	6	6	5	8	8	2
PH02Gene07860	2	2	22	18	31	1	4	21	11
PH02Gene07861	6	0	5	2	13	4	2	14	4
PH02Gene07862	9	0	8	10	8	4	12	7	1
PH02Gene07863	5	0	0	3	1	0	2	1	0
PH02Gene07864	6	8	10	4	7	4	4	8	8
PH02Gene07865	58	37	31	22	37	83	50	39	19
PH02Gene07866	4	0	2	14	0	0	0	0	0
PH02Gene07867	6	0	11	5	12	8	2	22	6
PH02Gene07868	2	0	0	5	8	0	7	5	6
PH02Gene07869	0	0	0	4	2	0	0	0	0
PH02Gene07870	0	0	0	1	4	1	2	0	0
PH02Gene07871	0	0	0	1	1	0	4	1	1
PH02Gene07872	0	4	14	5	9	0	2	8	0
PH02Gene07873	21	38	54	24	58	15	21	30	11
PH02Gene07874	40	2	2	6	3	4	18	7	0
PH02Gene07875	16	27	17	5	23	2	5	22	14
PH02Gene07876	28	79	18	18	14	44	25	18	94
PH02Gene07877	6	1	14	8	10	1	4	5	5
PH02Gene07878	55	73	81	21	75	20	80	83	32
PH02Gene07879	2	7	0	5	4	4	0	4	0
PH02Gene07880	10	2	3	2	10	6	12	4	4
PH02Gene07881	26	0	11	14	18	0	15	8	4
PH02Gene07882	137	18	14	115	2	26	50	4	14
PH02Gene07883	11	20	36	14	27	7	9	24	9
PH02Gene07884	7	10	1	6	5	5	14	19	1
PH02Gene07885	330	272	536	347	349	349	298	460	197
PH02Gene07886	4	0	1	1	0	0	0	0	0
PH02Gene07887	0	2	8	2	2	6	15	12	0
PH02Gene07888	115	295	47	53	40	179	118	57	248
PH02Gene07889	9	0	18	11	8	8	29	8	2
PH02Gene07890	4	0	0	4	2	0	0	2	0
PH02Gene07891	0	0	8	6	6	0	2	0	0
PH02Gene07892	16	2	6	1	21	2	14	16	0
PH02Gene07893	5	0	2	0	5	2	8	6	0
PH02Gene07894	1	1	8	9	6	0	8	4	2
PH02Gene07895	0	0	1	2	0	4	0	1	0
PH02Gene07896	0	0	2	0	10	3	7	1	0
PH02Gene07897	8	0	8	3	7	4	3	0	0
PH02Gene07898	11	4	9	4	4	8	7	2	2
PH02Gene07899	0	0	0	0	4	0	4	10	0
PH02Gene07900	3	0	7	2	9	6	20	22	0
PH02Gene07901	4	18	6	12	9	0	4	4	8
PH02Gene07902	8	5	6	2	10	3	2	8	0
PH02Gene07903	1	2	12	1	0	0	1	12	0
PH02Gene07904	8	4	11	1	10	14	7	5	6
PH02Gene07905	6	12	20	9	16	2	13	14	7
PH02Gene07906	36	72	29	22	5	20	40	5	33
PH02Gene07907	6	0	15	6	13	17	17	25	2
PH02Gene07908	12	4	7	2	10	2	24	2	8
PH02Gene07909	0	6	14	10	0	5	12	6	12
PH02Gene07910	0	0	0	2	0	0	4	0	0
PH02Gene07911	0	0	0	0	0	0	0	0	0
PH02Gene07912	4	0	0	1	0	0	2	0	0
PH02Gene07913	0	0	8	1	0	0	0	0	0
PH02Gene07914	0	0	2	1	2	0	1	9	8
PH02Gene07915	18	20	28	20	13	21	20	23	20
PH02Gene07916	2	0	6	2	5	0	3	0	0
PH02Gene07917	0	0	0	4	0	0	0	0	0
PH02Gene07918	0	0	0	0	0	0	2	0	0
PH02Gene07919	0	6	21	8	12	0	4	16	0
PH02Gene07920	0	4	2	1	4	1	1	2	1
PH02Gene07921	5	0	1	0	2	0	6	6	1
PH02Gene07922	0	0	18	11	11	1	11	15	1
PH02Gene07923	9	0	4	3	10	0	2	22	0
PH02Gene07924	11	0	18	4	6	1	6	0	8
PH02Gene07925	0	0	0	0	0	0	0	0	0
PH02Gene07926	0	0	0	0	0	0	0	0	0
PH02Gene07927	0	0	0	0	8	0	6	0	0
PH02Gene07928	3	0	3	15	2	0	11	24	0
PH02Gene07929	6	8	0	4	5	1	9	3	0
PH02Gene07930	1	2	13	5	17	0	6	4	0
PH02Gene07931	11	10	10	3	14	15	8	7	13
PH02Gene07932	0	0	0	0	5	0	0	3	1
PH02Gene07933	1	0	8	12	5	4	0	8	0
PH02Gene07934	6	0	4	3	5	0	14	4	2
PH02Gene07935	0	8	12	7	16	1	8	6	0
PH02Gene07936	137	397	140	144	178	225	112	212	133
PH02Gene07937	4	0	2	10	2	2	3	4	0
PH02Gene07938	0	0	3	1	5	0	0	4	0
PH02Gene07939	3	1	5	9	19	1	8	14	1
PH02Gene07940	0	1	15	57	4	0	6	4	4
PH02Gene07941	0	0	0	0	2	0	0	0	0
PH02Gene07942	0	2	21	4	4	9	8	2	0
PH02Gene07943	8	0	6	4	0	3	14	20	2
PH02Gene07944	0	0	6	3	6	0	3	16	0
PH02Gene07945	0	6	1	0	1	0	1	0	0
PH02Gene07946	2	0	9	2	0	7	1	6	2
PH02Gene07947	6	4	5	6	2	2	9	8	0
PH02Gene07948	0	0	9	0	0	0	0	0	4
PH02Gene07949	0	6	0	0	6	0	0	2	0
PH02Gene07950	0	0	6	0	1	0	0	0	0
PH02Gene07951	0	0	5	0	0	4	7	1	0
PH02Gene07952	4	0	7	4	10	4	8	1	2
PH02Gene07953	0	0	0	2	0	0	0	2	0
PH02Gene07954	0	0	9	14	8	0	6	4	1
PH02Gene07955	0	0	5	20	16	6	17	7	0
PH02Gene07956	6	0	25	5	13	0	3	8	0
PH02Gene07957	11	0	9	12	1	1	0	8	0
PH02Gene07958	12	4	22	7	12	2	25	26	1
PH02Gene07959	9	14	10	10	10	14	13	0	4
PH02Gene07960	11	2	25	20	14	17	16	16	5
PH02Gene07961	0	0	1	1	0	0	3	0	2
PH02Gene07962	0	0	0	1	2	0	1	3	0
PH02Gene07963	4	0	1	1	0	0	3	0	0
PH02Gene07964	10	1	0	5	3	5	0	1	0
PH02Gene07965	8	2	19	11	14	5	16	14	2
PH02Gene07966	7	0	4	1	4	0	8	4	0
PH02Gene07967	2	0	6	8	10	2	3	6	1
PH02Gene07968	1	0	13	0	23	0	15	14	0
PH02Gene07969	0	1	6	7	0	6	0	13	2
PH02Gene07970	2	0	4	5	3	3	8	8	0
PH02Gene07971	2	0	21	3	4	2	14	8	0
PH02Gene07972	0	0	1	0	1	0	0	0	0
PH02Gene07973	6	0	2	9	7	4	7	20	0
PH02Gene07974	12	6	6	8	6	2	18	12	2
PH02Gene07975	10	6	17	4	12	0	18	12	3
PH02Gene07976	0	0	0	6	1	3	5	0	0
PH02Gene07977	1	0	12	1	1	2	14	4	0
PH02Gene07978	5	0	4	6	0	1	2	4	1
PH02Gene07979	1	0	8	10	4	0	12	1	0
PH02Gene07980	5	2	26	16	5	2	9	5	1
PH02Gene07981	0	0	0	0	4	0	1	0	0
PH02Gene07982	1	0	0	0	7	0	0	0	0
PH02Gene07983	0	0	8	2	0	0	4	2	1
PH02Gene07984	0	0	3	0	0	0	0	2	0
PH02Gene07985	0	1	0	0	0	0	0	1	0
PH02Gene07986	0	0	8	8	0	2	0	0	0
PH02Gene07987	2	0	14	1	8	1	6	6	0
PH02Gene07988	4	0	10	18	4	2	10	2	0
PH02Gene07989	2	0	15	6	1	0	0	4	0
PH02Gene07990	9	6	10	20	24	36	43	16	0
PH02Gene07991	14	0	8	2	12	4	15	22	6
PH02Gene07992	0	0	4	0	0	0	1	0	0
PH02Gene07993	1	1	4	10	0	1	8	3	1
PH02Gene07994	10	6	21	12	5	10	8	19	10
PH02Gene07995	26	1	17	20	11	2	7	4	0
PH02Gene07996	0	0	12	0	8	0	18	7	0
PH02Gene07997	25	12	12	12	10	9	18	23	0
PH02Gene07998	0	0	0	0	0	0	6	10	0
PH02Gene07999	2	0	10	6	10	5	20	1	0
PH02Gene08000	2	0	8	4	8	2	2	6	0
PH02Gene08001	15	4	24	18	14	12	21	19	12
PH02Gene08002	0	0	0	1	4	0	2	1	0
PH02Gene08003	5	0	15	10	4	7	10	4	0
PH02Gene08004	65	1	17	130	18	3	111	7	0
PH02Gene08005	65	0	2	125	0	4	96	1	0
PH02Gene08006	76	0	2	122	16	6	164	7	0
PH02Gene08007	4	0	3	14	9	1	2	19	0
PH02Gene08008	16	0	8	16	8	13	15	4	0
PH02Gene08009	0	0	6	3	2	1	14	1	0
PH02Gene08010	1	2	12	14	4	0	4	1	0
PH02Gene08011	2	8	12	12	8	2	11	12	11
PH02Gene08012	4	12	11	5	15	13	6	2	0
PH02Gene08013	0	0	0	0	0	0	0	0	0
PH02Gene08014	4	0	12	1	1	0	4	6	0
PH02Gene08015	8	25	14	24	4	2	10	22	4
PH02Gene08016	0	0	3	0	4	0	4	2	0
PH02Gene08017	0	0	0	0	0	0	2	3	0
PH02Gene08018	0	0	1	1	0	0	0	0	0
PH02Gene08019	5	0	13	5	6	3	6	3	2
PH02Gene08020	2	0	0	0	9	0	2	0	0
PH02Gene08021	4	1	19	15	11	6	11	20	0
PH02Gene08022	0	0	0	0	0	0	0	0	0
PH02Gene08023	5	7	6	17	19	11	5	10	0
PH02Gene08024	0	0	2	0	5	0	1	1	0
PH02Gene08025	7	14	20	4	2	62	10	7	16
PH02Gene08026	40	43	31	14	23	37	24	14	17
PH02Gene08027	0	0	0	0	0	0	0	0	0
PH02Gene08028	0	0	0	0	0	0	0	0	0
PH02Gene08029	0	0	0	0	0	0	0	0	0
PH02Gene08030	6	0	4	0	0	6	0	0	0
PH02Gene08031	8	0	6	8	8	8	0	10	0
PH02Gene08032	2	0	4	10	0	0	0	0	0
PH02Gene08033	1	0	2	0	6	0	0	2	0
PH02Gene08034	7495	2276	7260	5500	6232	1412	5753	6250	2327
PH02Gene08035	67	100	34	30	44	39	31	70	66
PH02Gene08036	19	4	10	6	18	0	13	8	8
PH02Gene08037	0	0	0	0	0	0	0	0	0
PH02Gene08038	0	0	1	4	0	0	11	8	0
PH02Gene08039	0	0	0	0	0	0	0	0	0
PH02Gene08040	0	0	0	0	0	0	0	0	0
PH02Gene08041	0	0	0	0	0	0	6	0	0
PH02Gene08042	20	12	22	12	14	5	10	20	4
PH02Gene08043	0	0	7	22	0	0	12	0	0
PH02Gene08044	12	2	19	10	5	6	18	10	0
PH02Gene08045	9	3	14	18	10	4	8	5	2
PH02Gene08046	8	0	2	5	1	1	0	0	1
PH02Gene08047	0	0	1	0	1	0	2	4	0
PH02Gene08048	3	0	4	10	16	0	4	6	0
PH02Gene08049	20	24	12	9	29	28	18	14	22
PH02Gene08050	0	0	0	1	1	0	7	8	0
PH02Gene08051	6	0	6	7	3	5	12	0	0
PH02Gene08052	7	21	4	2	0	3	0	8	5
PH02Gene08053	0	0	4	0	0	0	0	0	0
PH02Gene08054	0	0	0	0	1	0	0	0	0
PH02Gene08055	0	0	0	0	0	0	0	0	0
PH02Gene08056	1	0	11	7	21	2	12	15	0
PH02Gene08057	2	0	1	18	7	0	1	0	0
PH02Gene08058	6	0	7	10	2	6	6	3	9
PH02Gene08059	30	10	10	14	6	6	36	10	7
PH02Gene08060	107	20	8	88	4	0	63	2	0
PH02Gene08061	0	1	0	0	0	7	5	2	0
PH02Gene08062	0	0	0	2	2	0	2	0	2
PH02Gene08063	7	0	0	2	2	0	0	1	0
PH02Gene08064	7	34	11	25	19	16	7	7	0
PH02Gene08065	34	0	18	1	0	43	10	5	21
PH02Gene08066	2	2	8	2	2	0	10	0	0
PH02Gene08067	0	4	16	13	3	0	8	4	0
PH02Gene08068	2	0	4	10	11	4	13	11	1
PH02Gene08069	0	2	0	6	14	8	9	3	0
PH02Gene08070	8	0	16	13	4	13	16	0	1
PH02Gene08071	4	2	2	0	2	0	4	8	0
PH02Gene08072	6	8	30	16	17	9	33	27	2
PH02Gene08073	6	0	18	11	8	9	7	12	5
PH02Gene08074	6	0	4	6	2	4	8	0	0
PH02Gene08075	6	4	0	5	2	3	13	3	0
PH02Gene08076	4	2	11	12	1	1	0	5	0
PH02Gene08077	2	1	11	6	10	10	4	10	0
PH02Gene08078	12	9	51	29	30	31	45	26	18
PH02Gene08079	592	1189	618	374	582	724	357	525	740
PH02Gene08080	10	0	2	8	8	2	1	1	0
PH02Gene08081	2	3	2	8	4	2	20	5	0
PH02Gene08082	0	4	3	2	5	1	4	6	0
PH02Gene08083	0	0	0	0	0	0	0	0	0
PH02Gene08084	1	9	14	11	7	1	11	13	5
PH02Gene08085	0	1	4	2	1	0	2	2	0
PH02Gene08086	0	1	6	2	12	0	0	5	4
PH02Gene08087	3	2	12	3	5	2	12	16	0
PH02Gene08088	28	7	34	12	29	31	27	20	27
PH02Gene08089	11	0	7	18	14	6	16	8	1
PH02Gene08090	43	48	105	27	68	64	37	67	31
PH02Gene08091	0	0	4	0	2	0	0	0	0
PH02Gene08092	6	0	3	8	13	4	2	1	0
PH02Gene08093	2	2	4	0	4	0	11	1	0
PH02Gene08094	0	0	3	4	6	0	13	6	0
PH02Gene08095	12	2	3	10	13	4	8	15	0
PH02Gene08096	2	2	3	8	18	10	10	16	12
PH02Gene08097	2	0	0	0	0	0	0	1	0
PH02Gene08098	0	0	0	0	0	0	0	0	0
PH02Gene08099	8	0	17	13	10	1	14	4	0
PH02Gene08100	2	0	11	1	0	1	4	0	0
PH02Gene08101	7	4	16	10	8	0	17	19	1
PH02Gene08102	15	18	33	8	19	9	38	24	16
PH02Gene08103	4	0	2	8	6	0	4	2	0
PH02Gene08104	0	0	6	0	5	0	0	2	0
PH02Gene08105	16	2	20	14	8	6	6	21	0
PH02Gene08106	1	0	2	6	10	0	3	6	4
PH02Gene08107	1	2	4	2	0	0	5	9	0
PH02Gene08108	0	8	0	3	1	1	3	0	0
PH02Gene08109	8	4	9	2	8	1	2	2	0
PH02Gene08110	4	1	16	19	21	0	12	21	1
PH02Gene08111	6	1	6	13	14	6	9	2	0
PH02Gene08112	8	4	21	17	6	3	12	9	0
PH02Gene08113	6	1	0	0	0	0	2	0	0
PH02Gene08114	7	4	7	5	4	2	4	16	0
PH02Gene08115	780	14	10	1238	2	12	635	4	13
PH02Gene08116	6	0	23	7	0	10	15	5	4
PH02Gene08117	8	0	13	13	9	7	9	7	0
PH02Gene08118	20	4	6	11	11	11	8	2	0
PH02Gene08119	0	0	0	0	1	0	0	0	0
PH02Gene08120	0	0	9	12	0	0	0	12	0
PH02Gene08121	12	6	12	8	8	7	10	15	0
PH02Gene08122	4	0	7	0	6	0	4	4	0
PH02Gene08123	3	0	4	1	10	0	2	7	0
PH02Gene08124	0	0	0	0	0	0	2	0	0
PH02Gene08125	18	11	38	41	24	24	20	25	10
PH02Gene08126	0	0	4	2	0	0	0	0	1
PH02Gene08127	4	5	8	2	20	6	20	14	6
PH02Gene08128	5	1	5	4	9	0	6	1	4
PH02Gene08129	2	2	15	1	6	6	8	7	0
PH02Gene08130	6	0	8	2	3	1	12	0	1
PH02Gene08131	0	0	2	1	0	0	10	2	0
PH02Gene08132	8	0	8	14	0	0	0	6	2
PH02Gene08133	4	0	0	0	0	2	1	2	0
PH02Gene08134	2	2	0	7	4	7	3	7	0
PH02Gene08135	2	0	1	5	0	0	11	1	0
PH02Gene08136	0	0	0	1	0	0	0	0	0
PH02Gene08137	6	4	1	0	0	5	1	1	0
PH02Gene08138	1	0	0	0	2	0	0	1	0
PH02Gene08139	4	0	6	5	14	2	5	4	1
PH02Gene08140	18	11	22	23	23	12	35	24	18
PH02Gene08141	2	0	4	6	0	0	1	0	0
PH02Gene08142	28	96	36	29	17	70	20	14	43
PH02Gene08143	4	0	18	10	8	3	9	7	9
PH02Gene08144	0	2	9	12	1	3	20	3	0
PH02Gene08145	24	6	14	31	8	2	23	21	0
PH02Gene08146	37	58	16	31	21	27	25	20	37
PH02Gene08147	17	1	0	7	17	0	14	6	0
PH02Gene08148	4	0	4	0	0	0	4	9	0
PH02Gene08149	4	0	7	1	20	6	10	3	1
PH02Gene08150	0	0	4	1	2	0	6	5	0
PH02Gene08151	1	0	3	6	7	2	0	6	4
PH02Gene08152	22	0	22	1	12	5	21	12	10
PH02Gene08153	9	0	16	10	8	7	1	16	2
PH02Gene08154	5	0	12	2	16	2	6	8	0
PH02Gene08155	1	0	0	0	1	0	3	1	0
PH02Gene08156	2	2	15	0	0	4	6	29	4
PH02Gene08157	268	168	217	201	173	157	182	155	147
PH02Gene08158	5	4	0	0	1	0	0	0	0
PH02Gene08159	8	5	23	10	16	8	6	21	0
PH02Gene08160	0	0	3	2	1	0	8	3	0
PH02Gene08161	15	4	32	7	16	11	17	33	14
PH02Gene08162	1	0	11	0	4	0	6	7	0
PH02Gene08163	3	0	28	11	28	1	26	21	0
PH02Gene08164	0	0	0	0	0	0	0	0	0
PH02Gene08165	0	0	0	6	1	1	2	0	0
PH02Gene08166	6	0	2	0	4	0	7	5	0
PH02Gene08167	1	0	0	0	2	0	14	1	0
PH02Gene08168	0	0	0	0	0	0	0	0	0
PH02Gene08169	0	0	0	4	0	1	0	17	0
PH02Gene08170	44	32	54	20	75	31	29	77	7
PH02Gene08171	0	0	0	0	0	0	0	6	0
PH02Gene08172	6	0	27	23	10	5	2	4	2
PH02Gene08173	1	2	0	1	2	0	4	2	0
PH02Gene08174	9	4	2	19	14	5	39	8	4
PH02Gene08175	18	3	18	11	12	5	18	21	0
PH02Gene08176	43	12	32	13	26	8	28	28	8
PH02Gene08177	6	4	16	6	17	14	6	16	2
PH02Gene08178	10	0	23	10	9	0	9	8	2
PH02Gene08179	6	4	19	4	9	22	28	2	6
PH02Gene08180	25	10	35	34	35	21	28	47	0
PH02Gene08181	2	5	3	5	8	4	0	6	0
PH02Gene08182	1	1	4	0	2	0	2	6	0
PH02Gene08183	10	0	4	7	7	9	10	12	0
PH02Gene08184	0	0	0	0	0	0	0	0	0
PH02Gene08185	2	0	2	1	10	0	0	4	0
PH02Gene08186	1	1	19	1	0	0	6	0	0
PH02Gene08187	8	0	1	11	1	0	12	7	0
PH02Gene08188	11	0	13	5	8	1	8	21	0
PH02Gene08189	0	0	0	0	6	4	3	0	1
PH02Gene08190	0	0	1	1	0	0	0	2	0
PH02Gene08191	8	0	25	13	4	18	19	16	10
PH02Gene08192	0	0	0	0	0	4	0	1	0
PH02Gene08193	0	0	0	0	0	0	2	4	0
PH02Gene08194	0	4	0	4	11	0	13	10	0
PH02Gene08195	1	0	0	0	0	0	0	2	0
PH02Gene08196	8	0	4	8	1	0	2	2	1
PH02Gene08197	12	0	5	19	8	4	2	1	1
PH02Gene08198	0	1	4	4	0	0	1	0	0
PH02Gene08199	4	5	12	8	6	10	15	5	0
PH02Gene08200	9	41	16	13	23	16	35	11	19
PH02Gene08201	14	5	5	8	17	3	16	9	10
PH02Gene08202	4	0	0	4	3	0	0	0	0
PH02Gene08203	23	6	12	12	12	12	17	12	24
PH02Gene08204	7	0	9	6	2	0	11	0	5
PH02Gene08205	0	0	0	0	0	0	0	0	0
PH02Gene08206	23	5	11	21	7	1	27	0	3
PH02Gene08207	0	2	2	1	3	3	8	2	1
PH02Gene08208	5	0	22	8	19	8	16	5	0
PH02Gene08209	6	0	0	1	20	9	0	8	0
PH02Gene08210	0	2	13	1	4	4	10	9	0
PH02Gene08211	0	4	3	7	0	1	11	5	0
PH02Gene08212	0	2	8	0	0	0	0	9	1
PH02Gene08213	1	1	5	3	11	1	2	6	0
PH02Gene08214	9	1	8	27	27	7	15	11	0
PH02Gene08215	2	1	1	3	4	2	14	2	0
PH02Gene08216	6	0	1	0	7	4	4	1	0
PH02Gene08217	3	1	12	9	2	12	11	12	0
PH02Gene08218	1	0	6	1	0	0	2	4	0
PH02Gene08219	20	6	51	18	26	14	29	34	6
PH02Gene08220	1	0	0	18	9	0	8	6	0
PH02Gene08221	5	5	12	24	26	5	20	9	12
PH02Gene08222	28	13	32	21	10	20	31	26	6
PH02Gene08223	9	0	9	5	7	0	0	2	0
PH02Gene08224	2	2	0	0	4	0	4	1	6
PH02Gene08225	10	8	19	8	8	16	9	4	4
PH02Gene08226	16	0	2	18	9	3	19	1	0
PH02Gene08227	8	0	13	17	8	6	27	8	0
PH02Gene08228	6	0	2	9	4	1	4	8	0
PH02Gene08229	0	0	4	1	0	1	4	0	0
PH02Gene08230	12	7	12	49	14	11	17	11	0
PH02Gene08231	18	74	40	13	51	32	14	56	45
PH02Gene08232	3	14	5	8	5	4	34	6	0
PH02Gene08233	105	140	160	228	142	86	223	135	94
PH02Gene08234	11	29	22	12	39	21	12	21	27
PH02Gene08235	1	1	0	3	3	0	8	8	0
PH02Gene08236	0	1	0	0	8	2	0	4	0
PH02Gene08237	0	0	0	0	0	0	6	0	0
PH02Gene08238	4	0	12	1	2	0	15	10	0
PH02Gene08239	0	2	12	2	4	9	10	0	6
PH02Gene08240	1	1	4	4	0	4	3	6	0
PH02Gene08241	1	0	10	10	21	2	8	2	4
PH02Gene08242	0	1	8	2	17	9	4	2	3
PH02Gene08243	1	0	9	1	4	10	0	9	0
PH02Gene08244	2	4	12	9	10	5	8	15	1
PH02Gene08245	24	0	16	6	5	3	8	11	0
PH02Gene08246	4	0	7	0	1	0	0	2	0
PH02Gene08247	0	0	2	8	3	3	8	3	0
PH02Gene08248	5	0	0	1	2	0	7	8	0
PH02Gene08249	0	0	0	7	0	7	6	6	0
PH02Gene08250	0	0	4	4	2	0	3	12	0
PH02Gene08251	20	28	28	12	9	10	19	11	25
PH02Gene08252	19	7	8	14	17	12	10	13	1
PH02Gene08253	0	0	5	5	9	0	2	0	0
PH02Gene08254	1	2	14	4	6	10	10	2	0
PH02Gene08255	2	1	8	4	1	0	2	3	0
PH02Gene08256	43	5	39	13	37	6	11	37	1
PH02Gene08257	36	40	68	34	50	53	34	51	15
PH02Gene08258	0	0	5	1	0	0	0	10	1
PH02Gene08259	9	0	15	18	18	2	22	10	7
PH02Gene08260	0	0	0	0	0	0	0	0	0
PH02Gene08261	6	0	17	1	4	4	4	0	0
PH02Gene08262	1	0	9	0	3	10	4	3	0
PH02Gene08263	7	6	5	5	8	1	6	7	0
PH02Gene08264	2	0	4	7	0	0	0	6	0
PH02Gene08265	13	0	6	6	4	3	2	8	0
PH02Gene08266	18	7	8	10	0	4	4	8	2
PH02Gene08267	312	164	60	118	24	42	137	50	32
PH02Gene08268	37	25	28	40	47	18	61	50	29
PH02Gene08269	2	2	4	1	4	1	11	4	5
PH02Gene08270	1	0	10	0	10	3	7	27	0
PH02Gene08271	61	18	80	47	75	47	44	50	37
PH02Gene08272	4	0	11	4	2	3	1	0	0
PH02Gene08273	2	0	1	8	4	4	3	10	0
PH02Gene08274	8	0	5	0	0	0	0	0	0
PH02Gene08275	0	0	8	4	6	0	5	0	2
PH02Gene08276	0	1	1	0	0	0	1	0	0
PH02Gene08277	1	0	13	0	2	4	0	5	0
PH02Gene08278	3	1	3	4	2	0	6	0	0
PH02Gene08279	1	1	14	14	3	6	11	9	0
PH02Gene08280	2	6	3	0	1	0	4	0	0
PH02Gene08281	10	2	22	10	20	2	18	16	10
