Gene	count_L05_mRNA	count_L02_mRNA	count_L11_mRNA	count_L04_mRNA	count_L10_mRNA	count_L03_mRNA	count_L06_mRNA	count_L12_mRNA	count_L01_mRNA
PH02Gene00115	0	0	11	2	5	1	2	10	0
PH02Gene00116	3	0	1	9	1	1	4	4	0
PH02Gene00117	2	0	2	2	0	2	2	1	0
PH02Gene00118	0	0	0	2	5	4	0	4	0
PH02Gene00119	3	5	14	5	6	4	19	8	3
PH02Gene00120	112	189	66	90	80	123	94	82	90
PH02Gene00121	22	8	22	12	26	33	45	14	4
PH02Gene00122	1	0	31	14	9	1	3	20	0
PH02Gene00123	11	0	24	1	10	9	5	23	1
PH02Gene00124	0	0	0	0	0	0	1	0	0
PH02Gene00125	0	0	0	0	8	0	0	0	0
PH02Gene00126	2	0	2	10	4	6	9	9	0
PH02Gene00127	5	3	19	13	12	3	6	12	2
PH02Gene00128	0	0	5	0	1	0	1	10	0
PH02Gene00129	23	9	27	19	27	14	8	13	12
PH02Gene00130	4	24	0	3	1	5	5	2	9
PH02Gene00131	0	1	0	1	0	1	1	0	0
PH02Gene00132	10	1	10	11	10	4	2	4	0
PH02Gene00133	4	0	10	6	4	2	1	2	0
PH02Gene00134	5	0	21	4	12	11	14	11	6
PH02Gene00135	16	1	20	8	18	0	14	2	0
PH02Gene00136	6	0	2	4	10	0	1	12	2
PH02Gene00137	10	12	26	0	13	8	8	12	10
PH02Gene00138	6	10	14	6	4	12	4	12	8
PH02Gene00139	0	6	14	8	5	8	4	8	0
PH02Gene00140	1	0	0	1	1	1	0	0	0
PH02Gene00141	25	26	43	26	35	27	22	26	15
PH02Gene00142	1	0	0	0	4	0	1	0	0
PH02Gene00143	1	6	8	10	9	4	4	0	0
PH02Gene00144	0	1	1	1	1	1	0	8	0
PH02Gene00145	10	6	5	14	8	6	8	3	0
PH02Gene00146	0	0	8	0	4	2	6	6	0
PH02Gene00147	19	7	18	25	14	5	23	9	0
PH02Gene00148	0	0	4	4	0	0	2	0	0
PH02Gene00149	0	4	2	3	2	4	7	9	0
PH02Gene00150	0	0	3	3	12	2	0	2	4
PH02Gene00151	1	0	10	8	0	0	0	0	0
PH02Gene00152	0	0	0	2	6	1	4	16	0
PH02Gene00153	12	7	5	15	8	2	19	3	2
PH02Gene00154	34	18	35	18	31	19	47	28	4
PH02Gene00155	10	0	23	3	1	0	14	21	0
PH02Gene00156	16	2	6	6	18	8	11	10	2
PH02Gene00157	9	4	7	2	0	16	4	5	10
PH02Gene00158	24	69	14	11	10	33	20	2	17
PH02Gene00159	13	77	8	2	2	24	9	2	28
PH02Gene00160	0	0	18	2	10	12	0	2	0
PH02Gene00161	11	1	4	3	1	0	4	1	0
PH02Gene00162	289	6	32	555	28	2	521	13	16
PH02Gene00163	37	27	22	31	21	14	48	36	16
PH02Gene00164	4	0	11	1	11	0	10	8	4
PH02Gene00165	0	0	0	0	0	0	0	0	0
PH02Gene00166	20	3	9	10	22	2	34	12	6
PH02Gene00167	0	0	0	0	1	0	0	0	0
PH02Gene00168	672	17	18	524	8	20	567	9	13
PH02Gene00169	2	4	14	7	5	4	12	8	0
PH02Gene00170	15	4	8	21	2	0	24	14	2
PH02Gene00171	0	0	0	0	2	0	2	0	0
PH02Gene00172	0	0	4	2	6	0	5	4	2
PH02Gene00173	12	6	13	19	5	2	36	14	0
PH02Gene00174	13	0	2	1	3	1	14	3	2
PH02Gene00175	1	0	14	8	18	0	4	9	0
PH02Gene00176	13	0	9	8	20	0	8	5	1
PH02Gene00177	35	63	60	22	39	53	57	72	37
PH02Gene00178	4	16	16	12	12	13	9	4	8
PH02Gene00179	4	1	10	10	4	4	11	14	14
PH02Gene00180	14	6	9	5	11	2	7	3	2
PH02Gene00181	2	0	0	2	0	4	1	1	0
PH02Gene00182	14	0	1	10	2	1	15	10	2
PH02Gene00183	17	36	58	7	45	62	12	38	38
PH02Gene00184	0	4	4	0	10	2	5	1	1
PH02Gene00185	31	4	12	22	5	2	15	15	6
PH02Gene00186	12	0	4	5	8	0	6	0	0
PH02Gene00187	6	0	16	3	5	20	13	8	0
PH02Gene00188	16	4	5	6	17	6	19	6	2
PH02Gene00189	2	0	3	8	4	2	5	4	0
PH02Gene00190	7	1	14	17	12	4	19	14	0
PH02Gene00191	56	89	79	81	57	81	62	111	77
PH02Gene00192	11	7	10	5	3	18	18	5	3
PH02Gene00193	6	0	11	9	2	4	9	10	4
PH02Gene00194	11	2	11	4	18	2	5	14	0
PH02Gene00195	9	22	24	10	30	31	28	32	8
PH02Gene00196	41	49	20	19	12	33	17	27	12
PH02Gene00197	8	11	2	0	4	8	13	10	2
PH02Gene00198	17	140	18	16	14	78	26	6	18
PH02Gene00199	0	1	0	0	0	1	1	0	5
PH02Gene00200	2	0	0	2	4	0	5	0	0
PH02Gene00201	0	0	1	6	1	1	1	0	0
PH02Gene00202	15	0	11	14	12	4	2	10	2
PH02Gene00203	2	7	14	2	2	12	10	8	4
PH02Gene00204	17	0	2	13	0	2	0	8	1
PH02Gene00205	15	7	29	23	24	6	26	11	0
PH02Gene00206	3	15	2	16	6	1	7	5	4
PH02Gene00207	0	0	0	3	0	0	4	0	0
PH02Gene00208	24	4	15	22	34	5	18	35	10
PH02Gene00209	5	0	8	42	1	0	6	1	1
PH02Gene00210	0	6	5	2	8	8	9	6	1
PH02Gene00211	0	0	3	5	4	2	3	4	0
PH02Gene00212	0	1	0	0	0	0	2	0	0
PH02Gene00213	17	10	18	14	7	20	7	20	2
PH02Gene00214	4	23	24	12	10	10	16	26	8
PH02Gene00215	11	269	71	18	50	124	32	33	109
PH02Gene00216	23	23	19	9	32	2	23	21	10
PH02Gene00217	86	182	30	22	8	115	53	23	111
PH02Gene00218	1	9	16	4	0	8	17	1	12
PH02Gene00219	0	0	10	2	6	0	2	1	0
PH02Gene00220	0	0	7	1	10	0	8	1	0
PH02Gene00221	2	22	3	9	3	37	14	14	1
PH02Gene00222	10	4	7	5	27	8	19	5	0
PH02Gene00223	16	17	42	18	18	28	12	27	9
PH02Gene00224	6	2	11	7	15	13	4	8	4
PH02Gene00225	0	1	0	2	0	0	0	4	0
PH02Gene00226	4	0	2	4	5	1	2	12	4
PH02Gene00227	423	0	10	390	8	0	289	7	0
PH02Gene00228	26	2	3	8	13	2	15	3	0
PH02Gene00229	41	0	10	19	4	0	25	9	2
PH02Gene00230	11	0	25	46	18	6	20	39	6
PH02Gene00231	740	764	840	484	660	547	544	708	606
PH02Gene00232	179	2571	126	38	54	702	122	77	390
PH02Gene00233	7	0	3	37	1	8	17	7	4
PH02Gene00234	7	2	2	0	14	2	4	0	0
PH02Gene00235	0	0	0	0	0	0	0	0	0
PH02Gene00236	6	2	9	2	4	4	18	32	17
PH02Gene00237	8	26	37	22	14	23	16	30	6
PH02Gene00238	30	24	40	28	41	20	35	46	24
PH02Gene00239	7	4	21	9	15	0	24	4	0
PH02Gene00240	0	4	11	0	0	7	4	4	0
PH02Gene00241	5	0	13	16	3	8	16	4	4
PH02Gene00242	16	8	6	19	16	7	28	16	2
PH02Gene00243	2	2	4	6	5	0	11	2	4
PH02Gene00244	0	0	8	8	0	0	1	0	0
PH02Gene00245	1	0	9	0	1	0	0	6	0
PH02Gene00246	0	5	7	12	4	2	4	12	2
PH02Gene00247	0	0	3	3	0	0	3	2	0
PH02Gene00248	4	0	12	13	2	2	0	5	0
PH02Gene00249	2	0	4	0	4	2	2	4	0
PH02Gene00250	2	2	0	12	4	7	4	2	0
PH02Gene00251	0	0	0	0	0	0	0	0	0
PH02Gene00252	3	0	0	7	15	1	8	6	9
PH02Gene00253	0	0	1	1	1	0	6	5	0
PH02Gene00254	8	0	7	10	3	0	1	0	0
PH02Gene00255	1	0	0	5	0	0	0	2	0
PH02Gene00256	0	0	5	0	0	0	1	1	0
PH02Gene00257	0	6	5	4	8	3	5	0	0
PH02Gene00258	0	4	26	19	3	5	11	9	2
PH02Gene00259	2	24	10	6	5	5	8	8	1
PH02Gene00260	24	10	23	19	31	38	22	7	14
PH02Gene00261	10	0	8	6	12	7	32	12	0
PH02Gene00262	2	2	9	14	5	10	6	7	0
PH02Gene00263	6	0	22	1	17	2	10	9	0
PH02Gene00264	12	4	0	5	14	0	2	12	2
PH02Gene00265	12	2	2	11	8	16	10	3	4
PH02Gene00266	10	4	20	3	21	8	4	6	6
PH02Gene00267	12	3	32	20	24	7	9	14	5
PH02Gene00268	0	0	2	1	0	2	2	0	0
PH02Gene00269	4	0	5	14	8	0	6	5	0
PH02Gene00270	9	4	1	6	2	0	0	8	0
PH02Gene00271	19	29	27	23	47	43	4	8	16
PH02Gene00272	9	69	26	23	26	66	15	23	24
PH02Gene00273	18	4	15	13	19	5	12	13	1
PH02Gene00274	35	18	27	8	36	17	16	30	18
PH02Gene00275	251	87	2	92	1	61	185	1	62
PH02Gene00276	19	10	34	14	22	11	17	14	4
PH02Gene00277	26	20	4	10	5	41	23	1	12
PH02Gene00278	1	1	11	18	5	6	2	4	2
