ID,Fold_(T1D-B1 vs C1),pValue
213831_at,-6.634,0.000
236203_at,-4.922,0.000
209480_at,-6.316,0.000
206371_at,2.695,0.000
222413_s_at,-2.321,0.000
236816_at,-2.060,0.000
216207_x_at,1.739,0.000
221830_at,-2.567,0.000
216853_x_at,1.922,0.000
229026_at,-1.899,0.000
238893_at,-1.653,0.000
206061_s_at,-1.629,0.000
241843_at,-2.707,0.000
1558080_s_at,-1.514,0.000
216401_x_at,2.251,0.000
229121_at,-2.076,0.000
224559_at,-1.647,0.000
1559025_at,-1.911,0.000
217157_x_at,2.064,0.000
227803_at,-1.918,0.000
211643_x_at,2.229,0.001
1555938_x_at,-1.556,0.001
203628_at,-2.093,0.001
219757_s_at,-1.464,0.001
215176_x_at,2.321,0.001
230265_at,-1.433,0.001
201280_s_at,-1.462,0.001
212852_s_at,-1.547,0.001
234764_x_at,2.598,0.001
215949_x_at,1.552,0.001
228129_at,-1.393,0.001
204256_at,-1.495,0.001
222798_at,-1.459,0.001
221588_x_at,-1.401,0.001
201278_at,-1.421,0.001
210438_x_at,-1.419,0.001
214153_at,-1.360,0.001
217378_x_at,2.280,0.001
209160_at,-2.382,0.001
211654_x_at,-2.157,0.001
208727_s_at,-2.539,0.001
220521_s_at,-1.705,0.001
217022_s_at,1.914,0.001
217480_x_at,2.104,0.001
228582_x_at,-1.410,0.001
213229_at,-1.328,0.001
243963_at,-1.332,0.001
1568619_s_at,-1.352,0.001
211798_x_at,2.346,0.001
221829_s_at,-1.105,0.001
236769_at,-1.104,0.001
227383_at,-1.584,0.001
217227_x_at,2.275,0.001
243623_at,-1.875,0.001
1565823_at,-2.353,0.001
206343_s_at,-1.246,0.001
225420_at,-1.104,0.001
203300_x_at,-1.071,0.001
211908_x_at,1.494,0.001
236862_at,-2.324,0.001
202464_s_at,1.208,0.002
219865_at,1.109,0.002
212423_at,-1.651,0.002
202062_s_at,-1.111,0.002
202435_s_at,-1.682,0.002
235727_at,-1.145,0.002
1554021_a_at,-1.514,0.002
221297_at,2.188,0.002
211644_x_at,2.388,0.002
216510_x_at,2.993,0.002
209616_s_at,-1.871,0.002
206026_s_at,4.370,0.002
207796_x_at,-1.673,0.002
227195_at,-1.727,0.002
222162_s_at,-1.211,0.002
223139_s_at,-1.591,0.002
219571_s_at,-1.428,0.002
220085_at,-1.273,0.002
1559964_at,-1.498,0.002
222088_s_at,1.277,0.002
229215_at,-1.199,0.002
232940_s_at,-1.267,0.002
239629_at,-1.766,0.002
222024_s_at,-1.613,0.002
224901_at,-1.879,0.002
222023_at,-1.584,0.002
207657_x_at,-1.091,0.002
219871_at,-1.302,0.002
238635_at,-1.527,0.002
212999_x_at,-3.895,0.002
227257_s_at,-0.999,0.002
227954_at,-0.996,0.002
1554690_a_at,-1.125,0.002
211641_x_at,1.875,0.002
223111_x_at,-1.068,0.002
206567_s_at,-1.023,0.002
1566785_x_at,-1.379,0.002
1554609_at,-1.130,0.002
1559881_s_at,-0.938,0.002
224827_at,-0.999,0.002
212592_at,2.289,0.002
1558438_a_at,1.426,0.002
212311_at,0.968,0.002
213954_at,-1.368,0.002
208022_s_at,-1.267,0.002
232094_at,-2.369,0.002
223565_at,2.265,0.002
205819_at,-0.955,0.002
1554821_a_at,-1.117,0.002
216560_x_at,1.990,0.002
230000_at,-1.267,0.002
230085_at,-0.975,0.002
212022_s_at,1.393,0.002
1563497_at,-1.795,0.003
205097_at,-2.199,0.003
201996_s_at,-1.630,0.003
215946_x_at,1.553,0.003
204105_s_at,-1.362,0.003
211521_s_at,1.085,0.003
214677_x_at,1.534,0.003
230252_at,-1.533,0.003
1553186_x_at,-1.025,0.003
202436_s_at,-1.277,0.003
206632_s_at,4.361,0.003
1559979_at,-1.042,0.003
203562_at,-2.567,0.003
231794_at,0.879,0.003
205409_at,0.934,0.003
203060_s_at,-0.910,0.003
221122_at,1.507,0.003
202095_s_at,1.574,0.003
1560316_s_at,0.975,0.003
225852_at,-1.376,0.003
206641_at,2.732,0.003
209258_s_at,-0.917,0.003
1558486_at,-1.715,0.003
231716_at,-1.821,0.003
244154_at,-1.159,0.003
216829_at,1.932,0.003
238534_at,-2.190,0.003
235458_at,-1.066,0.003
232267_at,-0.933,0.003
210220_at,-1.307,0.003
238909_at,-1.921,0.003
244132_x_at,-1.277,0.003
214228_x_at,1.183,0.003
236930_at,-1.155,0.003
219028_at,-0.894,0.003
201332_s_at,1.067,0.003
244801_at,-1.036,0.003
241525_at,-1.133,0.003
217258_x_at,2.112,0.003
226423_at,-0.842,0.003
221718_s_at,-1.109,0.003
229721_x_at,2.475,0.003
209372_x_at,1.195,0.003
210596_at,-1.315,0.004
217550_at,-1.664,0.004
225452_at,-1.529,0.004
204836_at,2.229,0.004
202498_s_at,1.671,0.004
205692_s_at,1.295,0.004
212430_at,0.861,0.004
226065_at,-0.929,0.004
230337_at,-1.308,0.004
201506_at,-0.852,0.004
235019_at,-0.901,0.004
224840_at,-0.921,0.004
208710_s_at,-1.513,0.004
226811_at,2.556,0.004
218638_s_at,-2.814,0.004
219387_at,-0.804,0.004
201328_at,-0.797,0.004
233210_at,-0.815,0.004
225467_s_at,-0.876,0.004
37145_at,-2.326,0.004
224428_s_at,0.876,0.004
235435_at,-1.152,0.004
223126_s_at,-1.970,0.004
213042_s_at,0.814,0.004
224943_at,-0.956,0.004
200672_x_at,0.920,0.004
213924_at,-1.054,0.004
240168_at,-1.284,0.004
214669_x_at,1.395,0.004
211948_x_at,-1.315,0.004
223547_at,-0.783,0.004
221555_x_at,-0.986,0.004
236008_at,-0.824,0.004
242463_x_at,-2.187,0.004
44790_s_at,1.042,0.004
217853_at,-0.784,0.004
1554768_a_at,1.169,0.004
225490_at,-1.158,0.004
205776_at,-1.036,0.004
221552_at,-0.836,0.004
222625_s_at,1.158,0.004
216365_x_at,1.621,0.005
58780_s_at,-1.043,0.005
201935_s_at,-0.915,0.005
222435_s_at,0.949,0.005
202752_x_at,0.768,0.005
226038_at,0.853,0.005
1568780_at,-1.263,0.005
206631_at,-0.934,0.005
227309_at,0.816,0.005
241869_at,-1.678,0.005
219341_at,-0.964,0.005
211639_x_at,2.308,0.005
207983_s_at,-0.769,0.005
212993_at,-0.768,0.005
234701_at,-1.238,0.005
206674_at,-1.217,0.005
238360_s_at,-0.851,0.005
213502_x_at,1.521,0.005
1558331_at,-0.826,0.005
222786_at,-0.739,0.005
205169_at,-1.217,0.005
215379_x_at,1.459,0.005
211881_x_at,1.817,0.005
211650_x_at,2.448,0.005
219521_at,-1.488,0.005
211430_s_at,3.531,0.005
219551_at,1.058,0.005
213397_x_at,-1.507,0.005
209138_x_at,1.543,0.005
219093_at,-1.098,0.005
226137_at,-1.085,0.005
211503_s_at,-1.055,0.005
215121_x_at,1.437,0.005
230179_at,-1.195,0.005
203633_at,-1.006,0.005
232053_x_at,0.760,0.005
213006_at,-1.321,0.005
229870_at,-1.055,0.005
227514_at,-0.712,0.006
224795_x_at,1.337,0.006
220202_s_at,-1.346,0.006
239247_at,-1.452,0.006
226477_at,-0.720,0.006
212291_at,-1.845,0.006
1564164_at,-1.481,0.006
227384_s_at,-1.950,0.006
213616_at,-0.946,0.006
227215_at,-0.910,0.006
222613_at,-1.017,0.006
207224_s_at,-0.798,0.006
222654_at,-1.009,0.006
230669_at,-2.368,0.006
209385_s_at,-0.736,0.006
1558251_a_at,-1.166,0.006
1556493_a_at,-2.518,0.006
221496_s_at,-0.741,0.006
228708_at,-1.354,0.006
219555_s_at,0.928,0.006
221253_s_at,1.544,0.006
243759_at,-2.635,0.006
1559957_a_at,-1.862,0.006
224834_at,-0.783,0.006
236132_at,1.076,0.006
1556058_s_at,0.699,0.006
226777_at,-0.814,0.006
235003_at,-1.529,0.006
229510_at,-1.345,0.006
208328_s_at,-0.768,0.006
209534_x_at,-1.157,0.006
1562836_at,-0.837,0.006
201669_s_at,1.221,0.006
221651_x_at,1.392,0.006
225825_at,-1.010,0.006
214209_s_at,0.850,0.006
218242_s_at,-0.676,0.006
220326_s_at,-0.751,0.007
219625_s_at,-0.715,0.007
222566_at,-0.830,0.007
204439_at,1.014,0.007
235698_at,-2.046,0.007
225731_at,-0.855,0.007
209257_s_at,-0.830,0.007
201299_s_at,-1.288,0.007
235651_at,-0.680,0.007
216491_x_at,3.136,0.007
232323_s_at,-0.974,0.007
227559_at,-1.269,0.007
218930_s_at,-0.895,0.007
222158_s_at,-0.820,0.007
216488_s_at,1.137,0.007
219221_at,-2.098,0.007
236367_at,-0.839,0.007
203590_at,-0.733,0.007
228323_at,0.795,0.007
229193_at,-1.795,0.007
226020_s_at,-0.696,0.007
224365_s_at,-0.679,0.007
225770_at,-0.928,0.007
235409_at,-1.777,0.007
203065_s_at,0.695,0.007
214637_at,0.911,0.007
219861_at,-0.989,0.007
226809_at,-0.722,0.007
242774_at,0.841,0.007
233528_s_at,0.694,0.007
200731_s_at,0.688,0.007
227941_at,-1.131,0.007
236429_at,-1.183,0.007
222750_s_at,-0.820,0.007
205262_at,0.702,0.007
1560035_at,0.960,0.007
211637_x_at,2.373,0.007
227039_at,-0.957,0.008
221671_x_at,1.398,0.008
215485_s_at,0.925,0.008
222027_at,-1.076,0.008
46947_at,-0.980,0.008
1559044_at,-0.754,0.008
231115_at,-0.674,0.008
226872_at,0.855,0.008
218204_s_at,-1.044,0.008
231238_at,-0.655,0.008
208895_s_at,-1.588,0.008
228866_at,-0.657,0.008
201063_at,-0.846,0.008
226436_at,-1.038,0.008
216971_s_at,0.893,0.008
227995_at,-0.714,0.008
217281_x_at,3.144,0.008
244024_at,-0.862,0.008
209226_s_at,-0.768,0.008
220646_s_at,-2.442,0.008
1552611_a_at,-1.375,0.008
212977_at,-1.889,0.008
227510_x_at,-0.940,0.008
244766_at,-1.230,0.008
216836_s_at,-1.369,0.008
235385_at,-1.295,0.008
215175_at,-1.673,0.008
218723_s_at,0.721,0.008
1564796_at,-0.690,0.008
222418_s_at,-1.371,0.008
205315_s_at,-1.999,0.008
219204_s_at,-0.763,0.008
229678_at,-0.880,0.008
215602_at,-0.793,0.008
226085_at,-1.485,0.008
202600_s_at,-2.321,0.008
203345_s_at,-0.714,0.008
1558437_at,0.950,0.008
209127_s_at,-0.708,0.008
1563502_at,-0.728,0.008
210186_s_at,0.672,0.008
212762_s_at,-1.359,0.008
223281_s_at,-0.702,0.008
238599_at,-1.034,0.008
232478_at,-0.947,0.008
201912_s_at,0.941,0.008
223967_at,1.379,0.008
222758_s_at,0.978,0.008
210053_at,-0.926,0.009
209015_s_at,-0.800,0.009
226790_at,-0.641,0.009
214546_s_at,0.722,0.009
233678_at,-1.009,0.009
213490_s_at,0.656,0.009
1555735_a_at,0.624,0.009
214617_at,-2.067,0.009
243874_at,-1.586,0.009
213915_at,-1.308,0.009
205883_at,-2.961,0.009
204427_s_at,0.919,0.009
208241_at,-1.149,0.009
228545_at,-1.843,0.009
1558176_at,0.787,0.009
214686_at,-1.321,0.009
214030_at,-0.612,0.009
206869_at,0.636,0.009
227247_at,-1.069,0.009
226099_at,1.777,0.009
238452_at,-1.130,0.009
212710_at,-0.712,0.009
221565_s_at,-0.669,0.009
206100_at,-0.641,0.009
219308_s_at,-0.759,0.009
1553169_at,1.425,0.009
226146_at,0.642,0.009
1552623_at,1.296,0.009
202323_s_at,-1.271,0.009
217858_s_at,-0.801,0.009
223087_at,-0.604,0.009
214052_x_at,-1.754,0.009
233937_at,-1.186,0.009
231956_at,-2.233,0.009
205687_at,-0.863,0.009
210298_x_at,0.742,0.009
209324_s_at,1.036,0.009
1558015_s_at,1.202,0.009
228927_at,-0.931,0.009
217388_s_at,-0.925,0.009
226094_at,-0.741,0.009
208750_s_at,0.658,0.009
223123_s_at,0.684,0.009
214931_s_at,0.692,0.009
1553042_a_at,0.745,0.010
228256_s_at,-2.551,0.010
205390_s_at,0.730,0.010
219017_at,-0.652,0.010
203989_x_at,-0.983,0.010
224856_at,-0.690,0.010
224880_at,-0.783,0.010
231920_s_at,-0.738,0.010
212111_at,-0.626,0.010
201660_at,-0.892,0.010
225013_at,0.801,0.010
223851_s_at,0.958,0.010
236254_at,-0.686,0.010
211159_s_at,0.610,0.010
207549_x_at,0.603,0.010
213188_s_at,-1.130,0.010
239329_at,-0.792,0.010
206351_s_at,0.696,0.010
214119_s_at,0.659,0.010
226589_at,-1.250,0.010
227101_at,-0.845,0.010
203645_s_at,-1.288,0.010
209980_s_at,1.544,0.010
204641_at,0.693,0.010
225741_at,-0.873,0.010
206237_s_at,-0.637,0.010
228070_at,-1.807,0.010
207705_s_at,-1.489,0.010
227080_at,-0.584,0.010
224977_at,-1.828,0.010
1554574_a_at,1.547,0.010
215641_at,-0.819,0.010
201085_s_at,-0.632,0.010
222800_at,-0.913,0.010
239382_at,-0.633,0.010
205495_s_at,-2.847,0.010
227866_at,-0.728,0.010
232412_at,-0.593,0.010
242217_s_at,0.789,0.010
203665_at,-0.611,0.010
218196_at,-0.594,0.010
211406_at,-0.604,0.010
241627_x_at,-2.471,0.010
204477_at,-0.631,0.010
212097_at,1.195,0.010
212840_at,-1.154,0.010
216969_s_at,1.361,0.010
228770_at,1.176,0.010
1553185_at,-0.637,0.010
215169_at,-1.045,0.010
226314_at,-0.642,0.011
235168_at,-0.802,0.011
225283_at,-1.019,0.011
204768_s_at,1.161,0.011
234985_at,-1.416,0.011
228315_at,-1.592,0.011
243051_at,-0.946,0.011
206184_at,0.739,0.011
227180_at,-1.693,0.011
236841_at,-1.330,0.011
216236_s_at,1.068,0.011
231866_at,-2.039,0.011
228266_s_at,-0.926,0.011
234884_x_at,2.262,0.011
227435_at,-1.213,0.011
213684_s_at,-1.773,0.011
1556183_at,0.787,0.011
206170_at,-0.851,0.011
210606_x_at,-2.102,0.011
227038_at,-0.765,0.011
223466_x_at,-0.591,0.011
242248_at,-0.645,0.011
205158_at,-1.667,0.011
203176_s_at,-1.467,0.011
200699_at,-0.908,0.011
223138_s_at,-1.393,0.011
202603_at,-0.787,0.011
204426_at,0.583,0.011
201735_s_at,-0.572,0.011
1557953_at,-0.605,0.011
227312_at,-1.564,0.011
216576_x_at,2.550,0.011
204900_x_at,-1.115,0.011
45288_at,-0.671,0.011
209225_x_at,-0.561,0.011
219658_at,-1.632,0.011
229983_at,-1.156,0.011
1557246_at,-0.795,0.011
217235_x_at,2.871,0.011
212487_at,-1.007,0.011
201818_at,-0.833,0.011
212070_at,-3.197,0.011
216557_x_at,2.310,0.011
217825_s_at,0.939,0.011
221286_s_at,1.650,0.011
213015_at,-2.891,0.012
242809_at,0.691,0.012
232095_at,-1.085,0.012
216360_x_at,0.677,0.012
239212_at,-0.779,0.012
227616_at,-0.609,0.012
214463_x_at,0.701,0.012
203586_s_at,1.026,0.012
203783_x_at,0.579,0.012
208961_s_at,-1.194,0.012
202743_at,-1.517,0.012
206848_at,-1.958,0.012
207324_s_at,-0.764,0.012
1553177_at,-2.928,0.012
213734_at,-0.564,0.012
216356_x_at,1.131,0.012
218599_at,0.552,0.012
209446_s_at,-1.030,0.012
229586_at,-0.766,0.012
205141_at,-1.056,0.012
241425_at,-1.547,0.012
229943_at,-2.233,0.012
207795_s_at,-2.341,0.012
219956_at,-0.715,0.012
1555905_a_at,-0.553,0.012
209200_at,-0.802,0.012
224342_x_at,2.876,0.012
200730_s_at,1.054,0.012
1560430_at,0.635,0.012
1555793_a_at,-1.320,0.012
236966_at,-0.873,0.012
213724_s_at,0.889,0.012
211653_x_at,-0.574,0.012
222843_at,-0.593,0.012
221004_s_at,1.303,0.012
223200_s_at,-0.603,0.012
209586_s_at,-1.016,0.012
225745_at,-0.767,0.012
204899_s_at,-1.442,0.012
200671_s_at,0.728,0.012
218009_s_at,2.085,0.012
243905_at,-0.908,0.012
242916_at,-0.675,0.012
201887_at,-0.802,0.013
215214_at,1.114,0.013
205039_s_at,-1.112,0.013
1568594_s_at,-0.917,0.013
214295_at,-1.156,0.013
214777_at,2.675,0.013
200770_s_at,0.592,0.013
235421_at,-1.486,0.013
227553_at,-0.873,0.013
224687_at,-1.238,0.013
244235_at,0.705,0.013
209231_s_at,0.942,0.013
228908_s_at,-0.712,0.013
1554930_a_at,0.839,0.013
232033_at,-1.652,0.013
214766_s_at,0.709,0.013
212908_at,-1.077,0.013
214980_at,-1.536,0.013
232643_at,0.554,0.013
214836_x_at,1.283,0.013
203548_s_at,-0.889,0.013
220189_s_at,0.659,0.013
219684_at,-0.646,0.013
1556423_at,-0.779,0.013
226783_at,-1.102,0.013
235041_at,-0.860,0.013
208859_s_at,-1.203,0.013
217790_s_at,-0.782,0.013
203597_s_at,-0.589,0.013
225941_at,-0.785,0.013
231768_at,-0.614,0.013
220459_at,-0.943,0.013
203318_s_at,-0.792,0.013
1566515_at,-0.646,0.013
208927_at,-0.590,0.013
232588_at,-0.988,0.013
211251_x_at,0.608,0.014
203111_s_at,1.004,0.014
203097_s_at,0.788,0.014
235244_at,-2.375,0.014
205780_at,1.858,0.014
218948_at,-1.374,0.014
224806_at,-0.585,0.014
214475_x_at,1.169,0.014
33494_at,-0.660,0.014
211748_x_at,-3.209,0.014
1555964_at,-0.579,0.014
224829_at,-0.828,0.014
238813_at,-0.639,0.014
203194_s_at,0.860,0.014
228967_at,-0.999,0.014
236533_at,-1.059,0.014
228923_at,0.590,0.014
220355_s_at,-0.692,0.014
230756_at,-0.549,0.014
1552309_a_at,-1.080,0.014
216984_x_at,2.666,0.014
233884_at,-0.608,0.014
229530_at,-0.680,0.014
239083_at,-1.281,0.014
210865_at,-0.592,0.014
228190_at,-0.631,0.014
1554335_at,-0.993,0.014
221744_at,-0.576,0.014
228517_at,-0.611,0.014
227394_at,-1.934,0.014
205917_at,-1.360,0.014
206967_at,-0.729,0.014
239043_at,-0.758,0.014
226000_at,-0.646,0.014
225348_at,-1.373,0.014
216198_at,-0.551,0.014
239147_at,-0.887,0.014
222220_s_at,0.630,0.014
201360_at,-0.734,0.014
222667_s_at,-1.619,0.014
1560866_at,0.664,0.014
213713_s_at,0.573,0.014
242317_at,-0.520,0.014
243282_at,-1.345,0.014
218241_at,-0.557,0.014
1557141_at,0.913,0.014
209585_s_at,-0.570,0.014
206724_at,0.611,0.015
53968_at,-0.551,0.015
214916_x_at,1.618,0.015
210317_s_at,-0.637,0.015
1554167_a_at,0.662,0.015
203485_at,-1.824,0.015
203362_s_at,1.049,0.015
233461_x_at,-0.578,0.015
206743_s_at,-0.529,0.015
229237_s_at,0.775,0.015
1553727_at,0.729,0.015
227454_at,-1.116,0.015
205928_at,-0.636,0.015
1569473_s_at,0.517,0.015
208835_s_at,-0.764,0.015
229448_at,0.536,0.015
1552274_at,-0.742,0.015
215990_s_at,1.683,0.015
219413_at,0.639,0.015
1568618_a_at,-0.732,0.015
1554691_a_at,1.055,0.015
216598_s_at,1.421,0.015
200897_s_at,-0.737,0.015
1566557_at,-0.611,0.015
212187_x_at,-3.271,0.015
217294_s_at,1.656,0.015
212257_s_at,-0.676,0.015
219653_at,-0.681,0.015
242131_at,0.573,0.015
219163_at,-1.234,0.015
217951_s_at,-0.782,0.015
206488_s_at,-0.502,0.015
224326_s_at,-0.553,0.015
215672_s_at,0.640,0.015
229217_at,0.709,0.015
235164_at,-0.998,0.015
205205_at,0.900,0.015
210117_at,1.502,0.016
218140_x_at,-0.924,0.016
226865_at,-0.528,0.016
226368_at,-0.673,0.016
220918_at,-0.644,0.016
1559038_at,-0.675,0.016
223065_s_at,-0.666,0.016
201279_s_at,-0.946,0.016
229735_s_at,-0.521,0.016
207828_s_at,1.113,0.016
206025_s_at,2.855,0.016
222744_s_at,-0.561,0.016
213385_at,-1.528,0.016
202173_s_at,-0.783,0.016
217878_s_at,-0.679,0.016
201602_s_at,-0.522,0.016
201476_s_at,0.538,0.016
233914_s_at,-0.709,0.016
212835_at,-0.896,0.016
1557121_s_at,-0.789,0.016
215165_x_at,-0.653,0.016
200669_s_at,0.645,0.016
1555392_at,-1.643,0.016
217826_s_at,1.153,0.016
206543_at,-0.560,0.016
211801_x_at,1.572,0.016
224359_s_at,-0.641,0.016
1554685_a_at,1.265,0.016
226514_at,-0.504,0.016
1554106_at,-1.201,0.016
206272_at,-0.839,0.016
214550_s_at,-0.536,0.016
210299_s_at,0.550,0.016
227267_at,-0.880,0.016
1556533_at,1.003,0.016
206918_s_at,0.692,0.016
238434_at,0.878,0.016
226760_at,-0.898,0.016
240432_x_at,0.974,0.016
208541_x_at,-0.536,0.016
226702_at,1.193,0.016
233969_at,1.066,0.016
206991_s_at,-0.564,0.017
212451_at,-1.030,0.017
204771_s_at,-1.124,0.017
200907_s_at,-0.553,0.017
218160_at,-0.518,0.017
202944_at,-0.512,0.017
212577_at,1.211,0.017
218272_at,-1.677,0.017
236631_at,0.578,0.017
222942_s_at,1.218,0.017
215883_at,0.638,0.017
225143_at,-0.686,0.017
217739_s_at,1.911,0.017
222668_at,-0.515,0.017
217529_at,0.931,0.017
222122_s_at,-1.240,0.017
227161_at,-1.466,0.017
230759_at,-0.545,0.017
239827_at,-0.853,0.017
203363_s_at,0.772,0.017
214579_at,-0.638,0.017
232568_at,-0.497,0.017
221802_s_at,-0.857,0.017
210240_s_at,0.887,0.017
216517_at,0.739,0.017
225045_at,-0.665,0.017
212800_at,-0.903,0.017
203908_at,-1.351,0.017
218135_at,-0.484,0.017
215118_s_at,0.553,0.017
243505_at,-0.520,0.017
230618_s_at,-2.500,0.017
210513_s_at,0.546,0.017
223470_at,-0.736,0.017
228405_at,0.586,0.017
213053_at,0.656,0.017
202637_s_at,0.545,0.017
238478_at,-1.038,0.018
222544_s_at,-1.592,0.018
212075_s_at,0.878,0.018
202661_at,-0.516,0.018
206151_x_at,0.672,0.018
221425_s_at,0.900,0.018
202379_s_at,-1.164,0.018
202679_at,-1.910,0.018
220307_at,-1.145,0.018
206518_s_at,-0.874,0.018
1554860_at,0.719,0.018
1555393_s_at,0.614,0.018
221211_s_at,-0.894,0.018
214055_x_at,-1.487,0.018
229748_x_at,0.763,0.018
205382_s_at,-0.669,0.018
211663_x_at,-2.451,0.018
222424_s_at,-0.909,0.018
232216_at,-1.944,0.018
219260_s_at,-0.485,0.018
243843_at,-0.949,0.018
219917_at,-0.754,0.018
213792_s_at,-0.536,0.018
207502_at,0.520,0.018
229905_at,-1.486,0.018
222850_s_at,-1.830,0.018
57715_at,-0.480,0.018
44673_at,0.873,0.018
226193_x_at,0.957,0.018
1557777_at,0.661,0.018
242293_at,-0.571,0.018
221081_s_at,-1.181,0.018
209374_s_at,0.509,0.018
222687_s_at,-0.825,0.018
235333_at,-0.481,0.018
219878_s_at,-1.492,0.018
209211_at,1.045,0.018
226863_at,-1.326,0.018
207087_x_at,1.909,0.019
228325_at,-1.079,0.019
215016_x_at,-1.026,0.019
202227_s_at,-0.606,0.019
1555486_a_at,-1.599,0.019
222935_x_at,0.805,0.019
214537_at,0.633,0.019
226557_at,-0.717,0.019
239406_at,0.601,0.019
229566_at,0.625,0.019
207055_at,0.736,0.019
221690_s_at,-1.928,0.019
213956_at,-0.562,0.019
213517_at,-1.010,0.019
210102_at,-0.497,0.019
215804_at,0.596,0.019
212412_at,-0.634,0.019
224992_s_at,-0.666,0.019
206155_at,0.766,0.019
207492_at,-1.325,0.019
219049_at,0.851,0.019
206102_at,0.804,0.019
215049_x_at,-1.324,0.019
233498_at,0.660,0.019
226975_at,-1.075,0.019
243899_at,-0.591,0.019
237759_at,-0.465,0.019
226799_at,-0.484,0.019
222838_at,-0.832,0.019
203144_s_at,-0.555,0.019
215101_s_at,-0.689,0.019
205316_at,0.718,0.019
1554748_at,0.458,0.019
202118_s_at,-0.537,0.019
229754_at,-0.703,0.019
207419_s_at,0.611,0.019
229236_s_at,-0.537,0.019
213203_at,-0.577,0.019
238788_at,-0.676,0.019
243589_at,-1.039,0.019
1552737_s_at,0.551,0.019
229689_s_at,-0.611,0.019
240265_at,-3.767,0.019
227429_at,0.532,0.020
225567_at,-0.457,0.020
222005_s_at,0.543,0.020
231999_at,-0.764,0.020
209836_x_at,-0.576,0.020
229442_at,-0.780,0.020
228487_s_at,-0.970,0.020
233572_s_at,0.624,0.020
204811_s_at,-1.151,0.020
216479_at,0.500,0.020
201944_at,-0.485,0.020
225957_at,-0.598,0.020
208234_x_at,0.559,0.020
206001_at,0.769,0.020
215024_at,-1.891,0.020
212002_at,0.512,0.020
208814_at,-0.596,0.020
238607_at,1.065,0.020
203725_at,2.244,0.020
209579_s_at,-0.660,0.020
219105_x_at,0.630,0.020
212420_at,-1.814,0.020
1564573_at,0.948,0.020
225046_at,-1.192,0.020
213645_at,-0.447,0.020
221244_s_at,-0.529,0.020
1553802_a_at,0.471,0.020
1568964_x_at,-0.500,0.020
208987_s_at,-0.675,0.020
226265_at,-0.702,0.020
1562496_at,0.569,0.020
227245_at,-0.512,0.020
223836_at,-2.713,0.020
1555490_s_at,1.059,0.020
225219_at,-0.676,0.020
1557411_s_at,-1.014,0.020
207860_at,-0.554,0.021
224766_at,-1.294,0.021
225820_at,-1.189,0.021
242963_at,-0.560,0.021
243852_at,-0.608,0.021
227819_at,-1.243,0.021
220623_s_at,-0.488,0.021
1562103_at,0.915,0.021
203147_s_at,-0.566,0.021
221078_s_at,-0.647,0.021
222404_x_at,-1.951,0.021
210821_x_at,0.761,0.021
235616_at,-0.711,0.021
213850_s_at,-0.495,0.021
215807_s_at,0.492,0.021
233483_at,0.525,0.021
1562062_at,-0.605,0.021
219313_at,0.906,0.021
228998_at,-0.920,0.021
231845_at,-0.970,0.021
238365_s_at,1.040,0.021
228711_at,-0.812,0.021
226727_at,-0.658,0.021
202191_s_at,-0.784,0.021
219375_at,-0.569,0.021
223250_at,-0.610,0.021
212125_at,0.527,0.021
213575_at,-1.704,0.022
211835_at,1.129,0.022
224715_at,0.469,0.022
226590_at,-0.747,0.022
228040_at,-0.460,0.022
223019_at,-0.480,0.022
1569481_s_at,0.600,0.022
210222_s_at,-1.632,0.022
1554824_at,-0.846,0.022
1555870_at,0.530,0.022
204956_at,-0.481,0.022
224933_s_at,-1.194,0.022
211863_x_at,0.701,0.022
201490_s_at,1.299,0.022
233487_s_at,-1.642,0.022
41512_at,-0.725,0.022
235699_at,0.935,0.022
201104_x_at,0.463,0.022
224358_s_at,-0.458,0.022
212115_at,-0.473,0.022
222139_at,-0.718,0.022
214446_at,0.786,0.022
1564713_a_at,0.574,0.022
217024_x_at,1.176,0.022
228435_at,-0.571,0.022
229364_at,-1.012,0.022
234000_s_at,-1.803,0.022
232180_at,-0.687,0.022
1569648_at,0.955,0.022
204589_at,-0.957,0.022
221079_s_at,-0.785,0.022
213830_at,-2.147,0.022
201710_at,1.357,0.022
236557_at,-0.465,0.022
200616_s_at,-0.503,0.022
244687_at,-1.199,0.022
1569594_a_at,-1.706,0.022
236808_at,-0.793,0.022
215707_s_at,0.567,0.022
210376_x_at,0.447,0.022
1552790_a_at,-0.959,0.022
224008_s_at,0.581,0.022
219448_at,-0.653,0.023
202531_at,0.578,0.023
234851_at,1.566,0.023
219182_at,0.500,0.023
223519_at,-0.784,0.023
224962_at,-0.491,0.023
217593_at,-0.615,0.023
229040_at,0.475,0.023
217885_at,-0.594,0.023
1561093_at,0.865,0.023
213063_at,-0.893,0.023
233345_at,0.963,0.023
224852_at,-0.563,0.023
226184_at,-0.857,0.023
1560059_at,0.571,0.023
219431_at,-0.497,0.023
238303_at,-1.856,0.023
223666_at,0.443,0.023
206508_at,0.603,0.023
221865_at,-0.628,0.023
204473_s_at,0.645,0.023
238444_at,-0.421,0.023
219539_at,-0.458,0.023
209773_s_at,1.629,0.023
231406_at,1.059,0.023
201755_at,0.652,0.023
228373_at,-0.443,0.023
1552315_at,-0.851,0.023
1553483_at,0.856,0.023
218909_at,-0.695,0.023
